time [yyyy_doy],time [yyyy-mm-dd],global [Gt],uncertainty_global [Gt],301 [Gt],uncertainty_301 [Gt],302 [Gt],uncertainty_302 [Gt],303 [Gt],uncertainty_303 [Gt],304 [Gt],uncertainty_304 [Gt],305 [Gt],uncertainty_305 [Gt],306 [Gt],uncertainty_306 [Gt],307 [Gt],uncertainty_307 [Gt],308 [Gt],uncertainty_308 [Gt],309 [Gt],uncertainty_309 [Gt],310 [Gt],uncertainty_310 [Gt],311 [Gt],uncertainty_311 [Gt],312 [Gt],uncertainty_312 [Gt],313 [Gt],uncertainty_313 [Gt],314 [Gt],uncertainty_314 [Gt],315 [Gt],uncertainty_315 [Gt],316 [Gt],uncertainty_316 [Gt],317 [Gt],uncertainty_317 [Gt],318 [Gt],uncertainty_318 [Gt],319 [Gt],uncertainty_319 [Gt],320 [Gt],uncertainty_320 [Gt],321 [Gt],uncertainty_321 [Gt],322 [Gt],uncertainty_322 [Gt],323 [Gt],uncertainty_323 [Gt],324 [Gt],uncertainty_324 [Gt],325 [Gt],uncertainty_325 [Gt]
2017_018,2017-01-18,-1267.5561,43.9826,107.4185,8.8879,-56.2825,4.3973,13.0497,8.8836,-8.067,6.0082,111.7767,7.7395,23.4851,8.7846,103.712,8.9932,62.2595,9.9945,-15.0024,7.1254,-12.1577,11.0794,-92.4716,10.1608,-183.5538,11.4541,39.4615,9.857,-30.8537,6.4641,1.6265,5.4514,-9.2625,7.0486,-15.4637,5.0109,61.5045,4.6487,92.9681,6.0506,-341.3047,9.8551,-476.9684,10.6028,-303.566,11.7484,-194.3475,11.6425,-26.7742,9.1226,-118.7425,11.283
2017_090,2017-03-31,-1320.0409,51.3714,289.0943,10.3811,-268.1898,5.1361,106.1097,10.376,19.5499,7.0176,111.3732,9.0396,37.5775,10.2604,69.7826,10.504,40.2697,11.6736,-66.4193,8.3225,-32.5521,12.9407,-138.1375,11.8678,-154.1677,13.3784,47.8966,11.513,-37.432,7.5501,-6.7827,6.3672,90.2052,8.2327,-97.2272,5.8527,59.2232,5.4296,187.8236,7.0671,-368.0355,11.5107,-499.0409,12.384,-406.147,13.7221,-167.4594,13.5983,-34.64,10.6551,-102.7153,13.1785
2017_109,2017-04-19,-1122.3842,43.5071,144.2741,8.7919,-26.9224,4.3498,78.0335,8.7876,27.8666,5.9433,101.2389,7.6558,34.1005,8.6896,102.2067,8.896,33.9444,9.8865,-28.2807,7.0484,-24.3437,10.9597,-66.113,10.051,-194.4799,11.3303,16.2532,9.7505,-33.3611,6.3942,35.1036,5.3925,-35.1881,6.9724,11.7637,4.9567,64.0443,4.5984,159.0877,5.9852,-360.7761,9.7485,-483.4411,10.4881,-309.1049,11.6214,-211.5646,11.5166,-13.4179,9.024,-143.3078,11.161
2017_136,2017-05-16,-1297.7162,30.9087,99.7191,6.246,-63.0354,3.0902,10.1218,6.243,5.8081,4.2223,94.2659,5.4389,55.7726,6.1734,96.4424,6.32,37.8602,7.0237,-20.7672,5.0074,2.9782,7.7861,-52.9339,7.1405,-211.6804,8.0494,48.3168,6.927,-41.8002,4.5427,14.1569,3.831,-35.3162,4.9534,-17.0474,3.5214,75.601,3.2668,127.9121,4.2521,-365.2276,6.9256,-490.3049,7.4511,-283.3108,8.2562,-209.0925,8.1817,-28.361,6.4109,-147.7937,7.9291
2017_162,2017-06-11,-576.6393,42.7695,157.5716,8.6428,-16.2323,4.276,100.0318,8.6386,-3.6923,5.8425,126.424,7.526,44.2459,8.5423,144.1464,8.7451,70.9055,9.7189,9.3448,6.9289,-16.4431,10.7739,5.1588,9.8806,-177.9722,11.1382,40.1403,9.5851,-3.13,6.2858,9.1208,5.301,37.6215,6.8542,31.8512,4.8727,90.3512,4.5204,159.1284,5.8838,-338.0134,9.5833,-473.6038,10.3103,-326.4597,11.4244,-176.854,11.3213,50.3325,8.871,-120.6129,10.9718
2018_167,2018-06-16,-1082.6604,26.0812,157.8226,5.2705,-25.5177,2.6076,64.9473,5.2679,47.1096,3.5628,144.4736,4.5894,89.1765,5.2092,111.309,5.3329,91.2739,5.9267,18.1102,4.2253,10.8268,6.57,-30.6913,6.0253,-247.6973,6.7922,109.6738,5.8451,-26.8246,3.8332,26.0517,3.2326,-7.1679,4.1797,19.1036,2.9714,71.3657,2.7566,142.7639,3.588,-442.8042,5.844,-597.8057,6.2873,-375.6387,6.9667,-236.9173,6.9039,-78.9356,5.4096,-116.6682,6.6907
2018_190,2018-07-09,-1146.4689,25.6654,156.0556,5.1864,-35.1043,2.566,61.6898,5.1839,34.3021,3.506,158.5367,4.5162,92.4591,5.1261,103.3799,5.2478,93.3821,5.8322,20.8783,4.1579,-7.1696,6.4652,-36.5868,5.9292,-258.5007,6.6839,115.2765,5.7519,-25.5762,3.772,16.5187,3.1811,4.3453,4.1131,11.4264,2.924,68.4271,2.7127,151.0341,3.5308,-440.5271,5.7508,-603.142,6.1871,-390.412,6.8556,-236.2117,6.7938,-91.135,5.3233,-109.815,6.584
2018_304,2018-10-31,-1186.1664,28.2094,136.615,5.7005,-27.0878,2.8203,45.9932,5.6978,39.7101,3.8535,154.9693,4.9639,91.2416,5.6342,92.7996,5.768,108.2499,6.4103,35.9525,4.5701,28.3208,7.1061,-46.7607,6.5169,-261.3584,7.3464,101.0147,6.3221,-26.8244,4.1459,9.3214,3.4964,-4.6413,4.5208,10.746,3.2139,84.8128,2.9815,140.391,3.8807,-462.7237,6.3208,-627.6286,6.8004,-350.9506,7.5352,-246.4901,7.4672,-87.0,5.851,-124.8389,7.2366
2018_320,2018-11-16,-1094.5147,23.6619,152.361,4.7816,-27.7519,2.3657,64.66,4.7792,40.2874,3.2323,156.7097,4.1637,88.8864,4.726,116.2872,4.8382,99.8179,5.3769,32.073,3.8334,28.9399,5.9605,-50.2597,5.4663,-261.1629,6.1621,110.6873,5.3029,-23.3265,3.4776,13.7496,2.9328,5.528,3.792,18.6286,2.6958,76.8247,2.5009,144.3144,3.2551,-461.7003,5.3019,-621.2956,5.7041,-375.2991,6.3205,-242.8555,6.2634,-65.0182,4.9078,-115.5999,6.07
2018_350,2018-12-16,-1236.4137,22.2615,174.2809,4.4986,-28.287,2.2257,60.3482,4.4964,31.6768,3.041,150.8218,3.9173,84.9732,4.4463,116.3206,4.5518,89.468,5.0587,26.6088,3.6065,12.1897,5.6078,-64.1904,5.1428,-281.9051,5.7974,104.0577,4.9891,-26.0009,3.2718,23.96,2.7592,9.0371,3.5676,15.1345,2.5362,69.295,2.3529,149.1807,3.0625,-485.9949,4.9881,-620.4375,5.3665,-400.1891,5.9464,-245.3017,5.8928,-87.3198,4.6173,-114.1405,5.7108
2019_016,2019-01-16,-1489.6511,22.1192,186.4556,4.4698,-38.86,2.2115,43.4844,4.4677,36.8829,3.0216,133.3652,3.8922,65.4898,4.4178,118.7869,4.5227,74.4714,5.0263,4.3708,3.5834,12.1875,5.5719,-95.1162,5.11,-290.3438,5.7604,74.3581,4.9572,-35.4312,3.2509,17.5779,2.7416,0.2271,3.5448,4.2405,2.52,66.2241,2.3379,144.1476,3.0429,-482.2639,4.9562,-630.0142,5.3322,-407.1068,5.9084,-242.0612,5.8551,-120.8845,4.5878,-129.8392,5.6743
2019_046,2019-02-15,-1497.4585,27.113,181.0651,5.479,-35.411,2.7107,53.3357,5.4763,32.5392,3.7038,138.2249,4.771,60.869,5.4153,118.0828,5.5438,84.6933,6.1611,3.6258,4.3925,14.3736,6.8299,-88.485,6.2636,-300.7258,7.0609,83.3415,6.0764,-41.8767,3.9848,13.7885,3.3605,-0.7985,4.3451,-1.6217,3.089,77.1695,2.8657,145.0844,3.7299,-476.4776,6.0752,-641.328,6.5361,-409.5179,7.2423,-243.7528,7.177,-127.9898,5.6236,-135.667,6.9554
2019_075,2019-03-16,-1513.4252,23.7111,172.2801,4.7915,-26.386,2.3706,58.727,4.7892,32.1952,3.239,126.0135,4.1723,66.3357,4.7358,115.0216,4.8482,95.7813,5.3881,12.6027,3.8413,25.7286,5.9729,-104.941,5.4777,-313.1518,6.1749,101.6633,5.3139,-41.9269,3.4848,10.4192,2.9389,-7.837,3.7999,-4.5083,2.7014,81.8486,2.5061,141.2826,3.2619,-495.0815,5.3129,-635.178,5.716,-410.4043,6.3336,-264.2467,6.2765,-114.8587,4.918,-134.8043,6.0827
2019_106,2019-04-16,-1453.5794,23.1987,167.5318,4.688,-32.8261,2.3194,76.0596,4.6857,36.0105,3.1691,134.0677,4.0822,70.5086,4.6335,137.366,4.7435,94.9086,5.2716,15.0191,3.7583,36.0983,5.8439,-109.5044,5.3594,-308.2633,6.0415,106.6528,5.1991,-23.734,3.4095,23.5651,2.8753,-14.2959,3.7178,3.0301,2.643,72.6765,2.4519,146.5813,3.1914,-519.4312,5.1981,-641.0878,5.5925,-414.3844,6.1967,-271.3546,6.1408,-103.868,4.8117,-134.9057,5.9512
2019_136,2019-05-16,-1442.5017,22.6289,181.4951,4.5728,-41.949,2.2624,69.098,4.5706,39.3543,3.0912,129.9012,3.9819,74.0182,4.5197,133.4788,4.627,102.8594,5.1422,8.0839,3.666,11.7293,5.7003,-98.1826,5.2277,-322.1166,5.8931,123.0411,5.0714,-19.654,3.3258,23.9997,2.8047,2.0897,3.6265,10.6072,2.5781,64.2838,2.3917,153.532,3.113,-517.6084,5.0704,-656.4739,5.4551,-428.7112,6.0445,-261.8469,5.99,-106.2193,4.6935,-117.3116,5.8051
2019_167,2019-06-16,-1235.0121,22.6235,205.5824,4.5717,-30.4767,2.2619,89.2081,4.5695,31.9202,3.0905,138.3542,3.981,80.1313,4.5186,134.6969,4.6259,112.0828,5.1409,21.8815,3.6651,12.2102,5.699,-97.528,5.2265,-318.2275,5.8917,129.3838,5.0702,-17.9408,3.325,21.1352,2.8041,22.4579,3.6256,28.7096,2.5775,69.8641,2.3911,178.784,3.1123,-508.4908,5.0692,-645.7186,5.4538,-448.309,6.0431,-237.5838,5.9886,-103.8177,4.6924,-103.3216,5.8037
2019_197,2019-07-16,-1212.0899,23.0498,227.5912,4.6579,-25.7519,2.3045,95.9166,4.6556,21.2022,3.1487,143.6485,4.056,65.1242,4.6037,148.5647,4.713,104.5979,5.2378,22.7491,3.7342,21.4655,5.8064,-87.1088,5.325,-319.3843,6.0027,126.9038,5.1657,-31.2104,3.3876,17.9281,2.8569,17.7599,3.6939,22.3585,2.6261,71.7688,2.4362,174.0355,3.1709,-502.8039,5.1647,-615.1493,5.5566,-460.6672,6.157,-217.462,6.1014,-97.5872,4.7808,-136.5794,5.913
2019_228,2019-08-16,-1331.8725,23.2558,199.9228,4.6995,-36.2124,2.3251,78.9992,4.6972,31.7996,3.1768,130.6086,4.0922,72.9536,4.6449,134.9925,4.7551,107.6212,5.2846,11.3003,3.7676,39.9079,5.8583,-77.2258,5.3725,-304.9253,6.0564,116.7039,5.2119,-29.4774,3.4179,18.3075,2.8824,-4.7316,3.727,6.8815,2.6495,80.5694,2.458,153.8962,3.1993,-505.6688,5.2109,-621.5099,5.6062,-446.2763,6.212,-226.2825,6.1559,-123.1426,4.8236,-140.8841,5.9659
2019_258,2019-09-15,-1124.3698,25.7384,188.9888,5.2012,-13.5053,2.5733,98.2488,5.1987,46.5283,3.516,130.8979,4.5291,80.9284,5.1407,132.2456,5.2628,130.7075,5.8488,42.2181,4.1698,40.2085,6.4836,-79.104,5.9461,-303.5055,6.7029,115.8128,5.7683,-17.6637,3.7828,23.5706,3.1901,13.2242,4.1248,28.3275,2.9324,97.9541,2.7204,164.4956,3.5408,-498.2965,5.7671,-625.2454,6.2047,-424.4034,6.8751,-249.1156,6.8131,-111.0726,5.3385,-136.8145,6.6027
2019_289,2019-10-16,-1162.2351,23.014,184.6051,4.6506,-10.7981,2.3009,103.0406,4.6484,29.1649,3.1438,141.7389,4.0497,90.0956,4.5966,139.1074,4.7057,131.4498,5.2297,42.1652,3.7284,23.5633,5.7973,-72.0465,5.3167,-331.0921,5.9934,124.3568,5.1577,-24.6843,3.3824,28.0775,2.8525,25.4516,3.6882,32.5858,2.622,100.1204,2.4324,171.3045,3.166,-497.8089,5.1567,-650.9227,5.5479,-410.7853,6.1474,-267.3305,6.0919,-112.4693,4.7734,-151.1247,5.9038
2019_320,2019-11-16,-1293.0464,22.7723,211.7711,4.6018,-30.9185,2.2767,80.5766,4.5996,27.2718,3.1108,139.3767,4.0072,79.2086,4.5483,143.2611,4.6563,116.885,5.1747,18.4254,3.6892,23.3893,5.7365,-85.1322,5.2608,-348.9163,5.9305,135.4247,5.1035,-20.9043,3.3468,25.4309,2.8225,20.728,3.6495,23.8452,2.5944,87.4957,2.4069,172.0619,3.1328,-503.6492,5.1025,-648.4141,5.4897,-443.5932,6.0828,-260.4614,6.028,-111.8015,4.7233,-144.4077,5.8418
2019_350,2019-12-16,-1592.8688,21.9682,230.5953,4.4393,-47.224,2.1964,67.5628,4.4372,22.0204,3.001,131.0352,3.8657,60.9628,4.3877,132.4401,4.4919,112.2913,4.992,1.2532,3.559,6.9357,5.5339,-113.0376,5.0751,-372.4814,5.7211,84.7564,4.9233,-45.6232,3.2287,25.2969,2.7228,-4.3204,3.5206,11.6589,2.5028,83.1171,2.3219,159.749,3.0221,-502.2357,4.9224,-647.2685,5.2958,-469.1961,5.8681,-246.8722,5.8151,-128.1742,4.5565,-146.1107,5.6356
2020_016,2020-01-16,-1678.5769,24.506,210.7813,4.9521,-41.696,2.4501,64.0462,4.9497,30.553,3.3476,116.8202,4.3122,59.6801,4.8946,121.9062,5.0108,111.5806,5.5687,4.5646,3.9701,26.5289,6.1732,-120.5022,5.6614,-379.2777,6.382,88.1695,5.4921,-47.9277,3.6016,19.1843,3.0374,-15.4257,3.9273,3.6968,2.792,94.5933,2.5901,155.635,3.3713,-507.9632,5.491,-675.8636,5.9076,-436.0898,6.5459,-267.1775,6.4869,-130.678,5.0829,-163.7156,6.2866
2020_046,2020-02-15,-1794.4314,25.5028,180.3482,5.1536,-38.3605,2.5497,65.0617,5.1511,24.5261,3.4838,103.9241,4.4876,73.9818,5.0937,108.353,5.2146,121.6962,5.7952,16.4606,4.1316,31.8582,6.4243,-135.1973,5.8916,-391.0163,6.6416,80.0547,5.7155,-40.1923,3.7481,26.6517,3.1609,-19.0549,4.0871,7.6566,2.9055,88.5296,2.6955,155.4293,3.5084,-538.6337,5.7144,-682.7279,6.1479,-427.3181,6.8122,-299.9848,6.7508,-129.1271,5.2896,-177.3502,6.5423
2020_076,2020-03-16,-1830.0698,23.2426,164.2283,4.6968,-33.054,2.3238,67.0564,4.6945,22.6704,3.175,107.9883,4.0899,67.3942,4.6422,117.6852,4.7524,112.8,5.2816,20.1604,3.7654,17.8302,5.8549,-121.7591,5.3695,-400.7823,6.0529,93.4115,5.2089,-35.7195,3.416,22.6372,2.8808,-11.1064,3.7248,6.8264,2.648,98.3135,2.4566,154.8649,3.1975,-552.9506,5.2079,-703.927,5.603,-395.9178,6.2084,-320.4178,6.1524,-133.2755,4.8208,-195.0269,5.9625
2020_106,2020-04-15,-1716.3543,24.6899,208.522,4.9893,-44.6418,2.4685,72.6492,4.9869,27.7623,3.3728,118.1619,4.3446,76.3374,4.9313,137.9164,5.0484,89.2047,5.6105,2.9265,3.9999,28.0615,6.2195,-115.3117,5.7038,-382.0852,6.4299,94.5185,5.5333,-36.0646,3.6287,23.2445,3.0602,-5.6935,3.9568,12.4945,2.8129,88.6881,2.6096,180.8758,3.3966,-552.6105,5.5322,-693.1434,5.9519,-448.1416,6.5951,-296.0331,6.5356,-122.2323,5.121,-181.7597,6.3338
2020_137,2020-05-16,-1476.2136,23.0192,226.6974,4.6517,-31.0437,2.3014,83.964,4.6494,24.3117,3.1445,135.0088,4.0506,79.0047,4.5976,123.6303,4.7068,116.6763,5.2308,19.8409,3.7292,18.3602,5.7986,-101.8927,5.3179,-366.8571,5.9948,105.9203,5.1589,-34.1155,3.3831,24.0664,2.8531,-0.9229,3.689,21.4519,2.6226,98.3022,2.433,196.1049,3.1667,-521.8226,5.1578,-683.8669,5.5492,-462.3625,6.1488,-267.2443,6.0933,-113.0783,4.7745,-166.3471,5.9052
2020_168,2020-06-16,-1384.6131,23.5576,237.9531,4.7605,-21.1937,2.3553,83.2903,4.7582,22.0095,3.2181,142.0643,4.1453,73.8287,4.7051,135.7064,4.8168,118.6537,5.3532,21.9938,3.8165,25.6173,5.9343,-96.0485,5.4422,-364.7196,6.135,102.5871,5.2795,-38.7185,3.4623,26.0845,2.9198,1.3171,3.7753,26.3943,2.6839,102.774,2.4899,199.4357,3.2408,-532.037,5.2785,-667.819,5.679,-458.7317,6.2926,-256.4686,6.2358,-95.3942,4.8862,-173.1921,6.0433
2020_198,2020-07-16,-1454.2191,23.1782,218.6122,4.6838,-27.1266,2.3173,75.8434,4.6816,23.5003,3.1663,135.0194,4.0786,74.6057,4.6294,139.0991,4.7393,110.1893,5.267,21.395,3.755,44.0148,5.8387,-95.4477,5.3546,-340.819,6.0362,107.1565,5.1945,-36.2036,3.4065,17.5153,2.8728,-7.8518,3.7145,13.3863,2.6407,113.3946,2.4498,174.7989,3.1886,-520.5174,5.1935,-669.2402,5.5875,-441.1674,6.1913,-275.7772,6.1354,-114.2673,4.8075,-194.3317,5.946
2020_229,2020-08-16,-1432.7785,25.076,194.2709,5.0673,-31.032,2.5071,59.8372,5.0649,31.4029,3.4255,137.608,4.4125,78.3025,5.0084,132.36,5.1273,124.1198,5.6982,32.2864,4.0625,41.0169,6.3168,-64.6604,5.793,-361.9434,6.5304,114.0694,5.6198,-30.2038,3.6854,36.1816,3.108,-1.5473,4.0186,27.8076,2.8569,108.9944,2.6504,182.4912,3.4497,-526.7936,5.6187,-694.9929,6.045,-424.167,6.6982,-288.9744,6.6378,-114.4395,5.2011,-194.7731,6.4328
2020_260,2020-09-16,-1451.6214,24.6734,203.7379,4.986,-33.9613,2.4668,70.4076,4.9836,26.1123,3.3705,135.2587,4.3417,97.5604,4.928,120.3991,5.045,129.5389,5.6068,37.699,3.9972,33.0402,6.2154,-66.9085,5.7,-358.8284,6.4256,112.2789,5.5296,-41.8078,3.6262,38.0436,3.0581,8.213,3.9541,25.2378,2.811,108.6177,2.6078,186.5359,3.3943,-533.3391,5.5285,-697.1075,5.948,-444.2103,6.5906,-294.1835,6.5312,-123.8182,5.1176,-190.1376,6.3295
2020_290,2020-10-16,-1452.1164,23.7413,221.939,4.7976,-35.4402,2.3736,69.4882,4.7953,19.2723,3.2432,141.1024,4.1777,84.2261,4.7418,123.8885,4.8544,113.2681,5.3949,35.3141,3.8462,42.9511,5.9805,-61.786,5.4847,-364.9792,6.1828,97.6171,5.3207,-42.9074,3.4893,34.4461,2.9426,17.4921,3.8048,27.9109,2.7048,105.3551,2.5093,200.6186,3.2661,-532.3149,5.3196,-694.6206,5.7232,-459.5098,6.3417,-292.3476,6.2845,-109.1838,4.9243,-193.9164,6.0904
2020_320,2020-11-15,-1530.8157,27.6326,241.4714,5.584,-32.7468,2.7627,67.9769,5.5813,24.8754,3.7747,131.1123,4.8624,90.6819,5.519,119.273,5.6501,107.7082,6.2792,19.4331,4.4766,64.6992,6.9608,-66.2243,6.3837,-382.6918,7.1962,95.3948,6.1928,-59.8202,4.0612,22.4865,3.4249,2.3604,4.4284,9.2561,3.1482,101.8885,2.9206,190.4712,3.8014,-555.1977,6.1916,-683.8878,6.6613,-471.0574,7.3811,-281.7186,7.3145,-85.3359,5.7314,-201.2239,7.0887
2020_351,2020-12-16,-1627.2622,24.9816,228.5451,5.0482,-26.0115,2.4976,56.5167,5.0458,33.3189,3.4126,127.1128,4.3959,94.4643,4.9895,119.5092,5.108,126.7206,5.6768,24.0219,4.0472,65.8355,6.293,-78.1992,5.7712,-405.8205,6.5058,84.5613,5.5987,-58.1108,3.6715,21.4045,3.0963,-11.0991,4.0035,5.431,2.8461,104.3543,2.6404,178.8261,3.4367,-567.6256,5.5976,-712.8778,6.0222,-455.1937,6.673,-298.2735,6.6128,-92.2542,5.1815,-192.4188,6.4086
2021_016,2021-01-16,-1979.5771,23.7955,188.8326,4.8086,-34.524,2.379,40.803,4.8062,25.6185,3.2506,116.864,4.1872,79.0486,4.7527,117.3169,4.8655,111.7826,5.4073,14.2554,3.855,58.0061,5.9942,-103.6707,5.4972,-430.8436,6.1969,73.6625,5.3329,-59.2915,3.4972,20.8128,2.9493,-31.7839,3.8134,-5.9302,2.711,99.1375,2.515,160.3294,3.2735,-582.7627,5.3318,-753.2323,5.7363,-426.7128,6.3561,-334.6407,6.2988,-106.8308,4.9355,-215.8237,6.1043
2021_046,2021-02-15,-1847.6801,25.0183,201.4583,5.0557,-30.7754,2.5013,60.9101,5.0532,18.628,3.4176,132.3199,4.4024,76.8474,4.9969,116.4928,5.1155,127.1492,5.6851,35.9083,4.0531,40.5492,6.3022,-108.9066,5.7797,-417.1188,6.5154,84.7159,5.6069,-53.1989,3.6769,27.4865,3.1009,-19.1136,4.0094,7.0174,2.8503,91.1495,2.6443,179.778,3.4417,-599.9444,5.6058,-756.0489,6.0311,-443.6572,6.6828,-326.4879,6.6225,-95.0239,5.1891,-197.8152,6.418
2021_075,2021-03-16,-1865.7806,24.2201,236.3789,4.8944,-40.2918,2.4215,60.2534,4.892,23.2292,3.3086,142.7674,4.2619,75.0743,4.8375,116.9704,4.9523,109.7421,5.5037,21.7302,3.9238,43.1058,6.1012,-108.8486,5.5953,-435.164,6.3075,87.987,5.428,-57.0211,3.5596,24.054,3.0019,-16.3921,3.8815,5.2564,2.7594,81.3671,2.5599,188.3588,3.3319,-604.1607,5.4269,-737.8907,5.8387,-489.5,6.4696,-314.8655,6.4112,-85.3834,5.0236,-192.538,6.2132
2021_106,2021-04-16,-1674.1947,23.3336,249.8812,4.7152,-32.4389,2.3329,76.3278,4.7129,24.2069,3.1875,151.9475,4.1059,79.8618,4.6604,121.7493,4.7711,134.6932,5.3023,35.3385,3.7802,42.9267,5.8779,-101.9266,5.3905,-428.0994,6.0766,107.185,5.2293,-53.1057,3.4293,20.5237,2.8921,-8.1766,3.7394,2.9161,2.6584,89.8733,2.4662,186.0942,3.21,-595.5151,5.2283,-738.6044,5.625,-487.478,6.2328,-296.1748,6.1765,-67.567,4.8397,-188.6333,5.9858
2021_136,2021-05-16,-1615.4166,24.1942,252.4242,4.8891,-35.3606,2.4189,85.3392,4.8868,36.8283,3.305,144.3257,4.2574,71.0459,4.8323,156.0574,4.947,104.5264,5.4979,15.5257,3.9196,73.6003,6.0947,-96.4325,5.5893,-432.1517,6.3008,92.874,5.4222,-39.5926,3.5558,21.7615,2.9987,-13.2736,3.8773,1.0421,2.7564,91.531,2.5572,186.2618,3.3284,-596.9861,5.4211,-744.8351,5.8324,-512.6505,6.4627,-278.9193,6.4044,-44.2142,5.0182,-154.1437,6.2066
2021_167,2021-06-16,-1553.996,25.3449,227.8922,5.1217,-36.2368,2.534,89.2664,5.1192,42.821,3.4622,154.7776,4.4598,89.3179,5.0621,142.6669,5.1823,121.8686,5.7593,27.4326,4.106,65.2996,6.3845,-82.7223,5.8552,-429.9234,6.6004,102.188,5.6801,-40.9213,3.7249,30.0681,3.1414,-10.9976,4.0618,14.6301,2.8875,100.2665,2.6788,199.4841,3.4867,-600.73,5.679,-768.3058,6.1098,-495.7985,6.77,-296.8519,6.709,-53.2582,5.2569,-146.2295,6.5018
2021_197,2021-07-16,-1700.6224,24.7175,217.0374,4.9949,-38.8677,2.4712,79.3753,4.9925,43.4258,3.3765,147.4087,4.3494,91.144,4.9368,139.9202,5.054,123.9514,5.6168,26.6683,4.0044,61.5535,6.2265,-83.6173,5.7102,-434.1858,6.437,94.5669,5.5395,-47.6654,3.6327,31.5068,3.0636,-17.0998,3.9612,17.7772,2.816,92.0183,2.6125,196.9508,3.4004,-614.7592,5.5384,-782.1964,5.9586,-493.1111,6.6024,-322.4015,6.5429,-58.7872,5.1267,-171.2355,6.3408
2021_228,2021-08-16,-1548.1239,24.0357,253.8203,4.8571,-32.0641,2.4031,91.1747,4.8548,41.9913,3.2834,159.3353,4.2295,93.5169,4.8006,147.9936,4.9146,105.3925,5.4618,26.5605,3.8939,60.8894,6.0547,-70.6786,5.5527,-413.8379,6.2595,120.4772,5.3867,-39.2559,3.5325,29.0404,2.9791,-9.4282,3.8519,17.4038,2.7384,92.7998,2.5404,198.3913,3.3066,-611.4984,5.3856,-770.8149,5.7942,-527.4734,6.4203,-309.0737,6.3624,-44.9631,4.9853,-157.8228,6.1659
2021_258,2021-09-15,-1537.2276,24.3637,265.8767,4.9234,-39.8883,2.4359,87.9335,4.921,27.3412,3.3282,164.0755,4.2872,94.1509,4.8661,132.2492,4.9817,109.5824,5.5364,36.9908,3.9471,62.245,6.1373,-53.1232,5.6285,-408.3125,6.3449,109.0362,5.4602,-48.638,3.5807,31.0523,3.0197,-8.5003,3.9045,14.0968,2.7757,96.9637,2.5751,209.4007,3.3517,-623.4986,5.4591,-767.0084,5.8733,-527.3065,6.5079,-296.589,6.4492,-46.75,5.0534,-158.6076,6.2501
2021_289,2021-10-16,-1477.8119,24.8478,266.1729,5.0212,-35.0856,2.4843,88.3592,5.0188,35.3818,3.3943,152.6571,4.3724,100.0823,4.9628,122.4769,5.0807,117.3636,5.6464,42.9043,4.0255,78.0293,6.2593,-42.0591,5.7403,-375.9134,6.471,104.9519,5.5687,-50.6103,3.6519,30.8483,3.0797,-5.3806,3.9821,15.5465,2.8309,100.8894,2.6262,207.3312,3.4183,-643.357,5.5676,-758.0969,5.99,-527.1766,6.6372,-299.1676,6.5774,-39.9313,5.1538,-164.028,6.3743
2021_320,2021-11-16,-1757.8426,25.5344,233.2251,5.1599,-51.6288,2.5529,52.551,5.1575,29.6171,3.4881,153.9477,4.4932,75.8973,5.1,128.4997,5.221,129.0419,5.8024,30.3962,4.1367,71.2573,6.4322,-45.3581,5.8989,-389.5312,6.6498,107.6233,5.7226,-58.0303,3.7528,19.01,3.1648,-27.6823,4.0921,-10.606,2.9091,100.6103,2.6988,174.5188,3.5127,-652.497,5.7214,-790.0689,6.1555,-512.435,6.8206,-328.1894,6.7591,-49.5474,5.2962,-148.4637,6.5504
2021_350,2021-12-16,-1739.084,25.5905,225.8993,5.1713,-40.3951,2.5585,64.9512,5.1688,33.5144,3.4958,175.9311,4.5031,93.1671,5.1112,121.8122,5.2325,126.0493,5.8151,44.7365,4.1458,63.67,6.4464,-21.0017,5.9119,-390.5231,6.6644,96.879,5.7351,-57.1354,3.761,24.4159,3.1718,-34.2345,4.1011,-2.2996,2.9155,95.0761,2.7047,178.1088,3.5205,-668.2107,5.734,-822.6596,6.169,-499.6775,6.8356,-349.3193,6.774,-50.3253,5.3078,-147.5133,6.5648
2022_016,2022-01-16,-1822.9313,26.4367,244.7042,5.3423,-47.689,2.6431,53.9893,5.3397,42.8605,3.6114,177.4802,4.652,113.4758,5.2802,138.2868,5.4056,112.3844,6.0074,40.4169,4.2829,59.0536,6.6596,-31.8908,6.1074,-408.6931,6.8848,86.7202,5.9248,-62.6453,3.8854,34.1418,3.2767,-30.5799,4.2367,0.4644,3.0119,82.5924,2.7942,180.0939,3.6369,-677.1298,5.9236,-823.4984,6.373,-534.2115,7.0617,-346.4103,6.998,-67.1634,5.4833,-159.6844,6.7819
2022_046,2022-02-15,-1890.158,26.3505,284.9078,5.3249,-55.0276,2.6345,57.5432,5.3223,27.3406,3.5996,182.6726,4.6368,109.0476,5.263,117.5288,5.3879,120.5382,5.9878,28.7798,4.2689,50.9291,6.6378,-49.7772,6.0875,-406.1134,6.8623,62.489,5.9055,-68.514,3.8727,24.3576,3.266,-36.8827,4.2229,-9.7414,3.0021,81.3536,2.7851,174.8848,3.625,-678.9483,5.9043,-803.9716,6.3522,-550.3797,7.0386,-326.9973,6.9751,-58.2295,5.4654,-167.948,6.7598
